Epoch, Time(s), Loss, Accuracy, Precision, Recall, F1-Score, ROC-AUC
0, 34144, 0.66482456033893389, 0.7578125, 0.4453125, 0.83009708737864074, 0.57966101694915262, 0.85382296389488777
1, 61210, 0.6387163040699575, 0.7646484375, 0.45358090185676392, 0.83009708737864074, 0.58662092624356776, 0.8546893916015833
2, 54283, 0.61643206498274017, 0.7685546875, 0.45844504021447718, 0.83009708737864074, 0.59067357512953367, 0.8553837206542092
3, 54104, 0.59709081935841268, 0.7705078125, 0.46005509641873277, 0.81067961165048541, 0.58699472759226712, 0.85626201723360029
4, 53454, 0.58121813500233577, 0.7744140625, 0.46478873239436619, 0.80097087378640774, 0.58823529411764708, 0.85756759322999188
5, 54182, 0.56673647488991519, 0.78125, 0.47352941176470587, 0.78155339805825241, 0.58974358974358965, 0.85785838061100705
6, 55706, 0.55322466395494219, 0.7861328125, 0.48024316109422494, 0.76699029126213591, 0.59065420560747661, 0.85947848173380392
7, 55297, 0.54180523367296496, 0.79296875, 0.49062499999999998, 0.76213592233009708, 0.59695817490494296, 0.85969805587865333
8, 54924, 0.53080476492919015, 0.7998046875, 0.50161812297734631, 0.75242718446601942, 0.6019417475728156, 0.86106297623851957
9, 53365, 0.52101371583705447, 0.8056640625, 0.51162790697674421, 0.74757281553398058, 0.60749506903353045, 0.86161487881881416
10, 53617, 0.51180794885494341, 0.814453125, 0.5273972602739726, 0.74757281553398058, 0.61847389558232935, 0.86253471645263624
11, 53857, 0.50391694203043347, 0.8134765625, 0.52650176678445226, 0.72330097087378642, 0.60940695296523506, 0.86351389844992965
12, 52893, 0.4956468204530739, 0.810546875, 0.52173913043478259, 0.69902912621359226, 0.59751037344398339, 0.8639945877940548
13, 54505, 0.48903393896426134, 0.81640625, 0.53308823529411764, 0.70388349514563109, 0.60669456066945604, 0.8644099983383613
14, 54367, 0.48215673191632646, 0.81640625, 0.53409090909090906, 0.68446601941747576, 0.60000000000000009, 0.8656028200441549
